english,farsi
affliction,مشقت
afflictive,رنجورساز
affluence,نعمت
affluence,تنعم
afford,از عهده برامدن
afford,استطاعت داشتن
afforest,جنگلکاری کردن
affright,وحشت زده
affront,روبرو دشنام دادن
affusion,عمل پاشیدن
Afghan,افغان
Afghan Arabs,عربهی افغانی
Afghanistan,فغانستان
Afghanistan,افغانستان
Afghans,افاغنه
aflame,مشتعل
afloat,در حرکت
afoot,برپا
aforementioned,مبور
aforementioned,سابق الذکر
aforementioned,بالاگفته
aforementioned,مزبور
aforementioned,اخیرالذکر
aforementioned,یاد شده
aforesaid,مذکور
Afra,افرا
afraid,ترسان
afraid,بیمناک
afraid,خائف
afraid,خوفناک
afraid,ترسنده
Africa,افریقا
Africa,افریقا
African,افریقیی
African,افریقیی
African,افریقیی
African,افریقیی
African American,سیاه پوست
African American,سیاه پوست
African-American,افریقیی امریکیی
Afro American,سیاهپوست
Afro-American,سیاهپوست
Afsaneh,افسانه
Afsar,افسر
Afshan,افشان
Afshar,افشار
Afshin,افشین
after,از پس
after,پس از
after,پی
after,دنبال
after,بیادبود
after,بعد از ینکه
after,به دنبال
after,پساز
after,پس از ینکه
after,بعد
after,پس از ان که
after,بعد از
after that,بدنبال ان
aftereffect,اثر ثانوی
afterglow,پس تاب
afterglow,پس فروزش
afterlife,عقبی
afterlife,اخرت
aftermath,پسیند
aftermost,عقب ترین
afternoon,عصر
afternoon,نیمروزی
afternoon,بعد از ظهر
afternoon,عصر
aftertaste,لذت ثانوی
aftertaste,لذت بعدی
afterwards,بعد از ان
afterwards,سپس
afterwards,بعد از ان
afterwards,پسازان
afterwards,بعدا
afterworld,عالمفانی
afterworld,عالماخرت
again,دیگر بار
again,دو مرتبه
again,مجددا
again,مکرراً
again,دومرتبه
again,دوباره
again,باز
again,باز هم
again,ازنو
against,خلاف
against,علیه
against,بر ضد
against,بخلاف
against,در برابر
against,برضد
against,برخلاف
against,بر خلاف
against,در مقابل
against,روبروی
against,مقابل
against,بر علیه
agalactous,کم شیر
agape,درشگفت
agate,عقیق
age,سالخورده شدن
age,عصر
age,قدم
age,پیرنما کردن
age,قدمت
age,سن
age of,سالگی
age of puberty,حد بلوق
age-wise,سنی
aged,سالمند
aged,معمر
aged,سالمند
aged,کهنسال
aged,مسن
Agence France-Presse,اژانس فرانس پرس
agency,پیشکاری
agency,کارگزاری
agency,دفترنمیندگی
agency,وکالت
agency,نمیندگی
agency,بنگاه
agency,اژانس
agenda,برنامه عملیات
agendum,دستور کار
agent,فاعل
agent,عامل
agent,کار گذار
agent,فاعل
agent,پیشکار
agent,مامور
agent,نمینده
agent,عامل
agent,سازه
agentless,بی فاعل
agents,عمال
agents,عوامل
ages,سنین
agewise,سنی
agglomerate,جوش اتشفشانی
agglutination,عمل چسباندن
aggrade,خاکریزی کردن
aggravate the situation,مزید بر علت شدن
aggravated,مشدد
aggravation,تشدید
aggregate,جمع شده
aggregate,متراکم ساختن
aggression,تجاوز
aggression,دست درازی
aggression,تعرض
aggression,درازدستی
aggression,دراز دستی
aggressive,دراز دست
aggressive,پرپشتکار
aggressive,تعرضی
aggressive,پرخاشگر
aggressive,پرتکاپو
aggressive,تجاوز کارانه
aggressive,تجاوزی
aggressive,درازدست
aggressor,متجاوز
aggressor,متجاوز
aggressor,تجاوزکار
aggressor,مهاجم
Aghajari,اغاجری
Aghanur,اقانور
aghast,وحشت زده
Aghazadeh,اقازاده
Aghdas,اقدس
Aghigh,عقیق
Aghil,عقیل
Aghsa,اقصی
agile,سریعالانتقال
agility,سبکبالی
aging,کهنهشدنشراب
aging,سالخوردگی
agiotage,سفته بازی
agitate,بر اشفتن
agitate,سراسیمه کردن
agitate,اشفته کردن
agitate,مشوش کردن
agitated,اشفته
agitated,متلاطم
agitated,مشوش
agitation,خلجان
agitation,اشفتگی
agitation,تلاطم
agitator,اشوبگر
aglet,کویچ
aglitter,متلالا
aglitter,درتابش
ago,قبل
ago,پیش
agonist,دچار اضطراب
agonistic,مستعد جنگ
agonistic,مشار
agonistic,کوشش امیز
agonizing,رنجاور
agonizing,سوزناک
agonizing to death,جان کندن
agony,سکرات مرگ
agony,رنج
agony of death,نزع
agony of death,احتضار
agree,همری بودن
agree,مماشت کردن
agree,متفق بودن
agree,سازش کردن
agree,توافق داشتن
agree,هم عقیده شدن
agree,توافق کردن
agree,موافقت کردن
agree,موافق بودن
agree,پسندامدن
agree with,وفق پیدا کردن
agreeable,دلجو
agreeable,سازگار
agreeable,متوافق
agreeing,همزبان
agreement,توافق
agreement,تطابق
agreement,همدلی
agreement,همخوانی
agreement,معاهده
agreement,سازگاری
agreement,قرار
agreement,سازش
agreement,مطابقت
agreement,پیمان
agreement,مقاوله
agreement,قرارداد
agreement,موافقت
agreement,میثاق
agreement,مماشت
agreement,توافقنامه
agreement letter,موافقت نامه
agression,پرخاشگری
agricultural,کشاورزی
agricultural,زراعی
agricultural,زراعتی
agriculture,فلاحت
agriculture,برز
agriculture,کشت و زرع
agriculture,زراعت
agriculture,کشاورزی
agriculture,کشاورزی
agriculture,برزگری
Agriculture Minister,وزیر کشاورزی
agrologist,خاکشناس
agronomist,برزشناس
agronomy,برزشناسی
aground,بگل نشسته
aground,درزمین
ague,تب و لرز
agument,مباحه
ah,اف
ah,اه
ah,اوه
ah,اوخ
Ahdiyeh,عهدیه
ahead,روبجلو
ahead,جلو
ahead,جلو
Ahmad Ali,احمدعلی
Ahmad Reza,احمدرضا
Ahmed,احمد
Ahmed Chalabi,احمد چلابی
Ahmed Shah Masood,احمد شاه مسعود
Ahmedinejad,احمدی نژاد
ahoy,هی هی
Ahriman,اهریمن
Ahu,اهو
Ahura Mazda,هرمزد
aid,مددکار
aid,معونت
aid,اعانه
aid,دستگیری
aid,مدد
aid,کمکی
aid,یار
aid,معاون
aid,معاظد
aid,مدد کار
aid,عون
aid,نصرت
AIDS,یدز
ailing,ضعیفالبنیه
ailment,نقاهت
aim,مرام
aim,مقصد
aim,کام
aim,نشانگاه
aim,مقصود
aim,نشان
aim,نشانه گرفتن
aim,هدف گیری کردن
aim,نصبالعین
aim,قراول رفتن
aiming,هدف گیری
aiming,نشانه روی
aimless,بدون هدف
aimless,بی مقصد
aimless,بی هدف
aimless,بی مرام
aimlessness,بی هدفی
air,هوا
air,باد دادن
air,هوا خوردن
air,هویی
air,هوا دادن
air base,پیگاه هوائی
air bladder,مثانه هوا
air conditioner,کولر
air conditioning,تهویه مطبوع
air embargo,تحریم هویی
air force,نیروی هویی
air heaviness,خفگی هوا
air mail,پست هویی
Air Peru,ائرو پرو
air pocket,هفره هوائی
air pollution,الودگی وها
air pump,تلمبه
air tight,هوابندی شده
airborne,هوابرد
aircraft,طیاره
aircraft,هواپیمیی
aircraft carrie,هواپیما بر
aircraft carrier,هواپیما بر
aircraft carrier,ناو هواپیمابر
aircraft carrier,ناو هوا پیما بر
aircraft industry,هواپیماسازی
aircraft manufacture,هواپیماسازی
aircraft visibility,اسمانه هواپیما
airily,هواسان
airline,ارلین
airline,شرکت هویی
airlines,هواپیمیی
airlines,هواپیمیی کشوری
airlines,خطوط هویی
airplane,هواپیما
airplane,طیاره
airpocket,چاه هویی
airport,پروازگ
airport,فرودگاه
airy,هوا مانند
airy,با روح
aisle,راه رو
aisle,راهرو
aivatrix,زن هوانورد
Akbar,اکبر
Akhtar,اختر
Akhzar Ebrahimi,اخضر ابراهیمی
Akram,اکرم
Akramossadat,اکرمالسادات
Al Badr,البدرگ
Al Gore,ال گور
Al Hayaat,الحیات
Al Jazeera,الجززیره
Al Khafaji,الخفاجی
Al Khalil,الخلیل
Al Qaeda,القاعده
Al-Alam,العالم
Al-Araghi,العراقی
Al-Gamaat al Islamia,الجماعت الاسلام
Al-Mahdi Army,ارتش المهدی
Al-Mahdi Army,سپاه المهدی
Al-Mahdi movement,جنبش المهدی
Al-Sadr,الصدر
Alabama,الاباما
alabaster,مرمرسفید
Aladdin,علاءالدین
Alaleh,الاله
alarm,اعلان خطر
alarm,اژیر
alarum,شیپور حاضرباش
alarum,ساعت زنگی
alas,افسوس
alas,وه
alas,ی بابا
alas,واحسرتا
alas,هیهات
alas,هی هی
alas,فغان
Albania,البانی
Albanian,البانییی
Albany,البانی
albeit,ولوینکه
Albert Kohl,البرت کهل
Albert Roberts,البرت رابرتز
Albertin Robital,البرتین روبیتال
Alberto,البرتو
Albright,البریت
album,البوم
albumen,البومین
albumin,البومین
alchemist,کیمیاگر
alchemist,کیمیاشناس
alchemistic,کیمیاگرانه
alchemy,کیمیا
alchemy,کیمیاگری
alchoholics,داءالخمر
alcify,اهکی شدن
alcohol,الکل
alcoholic,الکلی
alcoholic,باده پرستی
alcoholic,باده پرست
alcoholic,باده گساری
alcoholic,باده دوست
alcoholic,شرابخور
alcoholic,باده نوش
alcoholic,الکلی
alcoholic,باده گسار
alcoholic drink,مشروب
alcoholic liquors,مسکرات
alcoholism,اعتیاد به الکل
Aldebaran,دبران
alder,توسه
alder,توسکا
alderman,دخو
alembic,عرق کشی کردن
alert,مراقب
alert,هشیار
alert,گوش بزنگ
alert,خبردار
alert,هوشیار کردن
alert,بهوش
alertness,بیداری
alertness,هشیاری
Alexander,سکندر
Alexander,اسکندر
Alexander Kurzhakov,لکساندر کورژاکف
Alexandria,اسکندریه
Alexandrian,سکندری
algal,جلبکی
algal,خزهی
algebra,جبر
algebra,جبر و مقابله
algebraic,جبری
algebraic language,زبان جبری
Algeria,الجزیر
Algerian,الجزیری
algogenic,دردزا
algol,زبان الگول
algologist,جلبک شناس
algology,جلبک شناسی
algorithm,الگوریتم
algorithmic,الگوریتمی
algorithmic language,زبان الگوریتمی
Ali,علی
Ali Abbas,علیعباس
Ali Akbar,علیاکبر
Ali Akbar Hashemi Rafsanjani,علی اکبر هاشمی رفسنجانی
Ali Asghar,علیاصغر
Ali Ashraf,علیاشرف
Ali Baba,علیبابا
Ali Hasan,علیحسن
Ali Karam,علیکرم
Ali Mohammad,علیمحمد
Ali Panah,علیپناه
Ali Shamkhani,علی شمخانی
Aliah,عالیه
Alidad,علیداد
alien,غریب
alien,ناسازگار بودن
alien,غریبه بودن
alien,اجنبی
alienable,قابل فروش
alienate,گریزاندن
alienate,بیگانه سازی
alienate,بیگانه کردن
alienation,بیگانه سازی
aliens,موجودات فضیی
aliform,شبیه بال
align,هم تراز کردن
aligned,هم ردیف
aligned,هم ردیف
aligner,هم تراز کننده
alignment,هم ترازی
alignment,صف بندی
alike,یکجور
alike,همرنگ
alike,همشکل
alike,بتساوی
alike,همسان
alike,یکجور
alike,همشکل
alike,مانندهم
alike,بتساوی
alikeness,یکجوری
aliment,قوت لیموت
alimental,غذا دهنده
alimentary,رزقی
alimony,نفقه
alimony,خرجی
Alimorad,علیمراد
aliquot,متداخل
Alireza,علیرضا
Alis,الیس
alive,جاندار
alive,زنده
alive,ذوحیات
alive,حی
alkanet,شنگار
alkanet,شنجار
all,جملگی
all,جمیع
all,تماما
all,جمله
all,همه
all,تمام
all,همگی
all,همگی
all,تمامی
all,تمام
all,همه
all,کل
all,همگی
all,همه
all around,دورادور
all around,دورتادور
all day long,تمام روز
all life long,مادام العمر
all night long,تمامی شب
all out,بمقدار زیاد
all out,باشدت تمام
all over,سرتاسر
all over,سرتاپا
all over,بطور سراسری
all over,سربسر
all over,سراسر
all relative,دارودسته
all that,هرانچه
all together,جمعا
all-in-one,تنگ بست
Allah Akbar,الله اکبر
Allah Akbar,الله اکبر
Allahbakhsh,اللهبخش
Allahbedasht,اللهبهداشت
Allahyar,اللهیار
Allawi,علاوی
allegation,ادعا
allege,دلیل اوردن
alleged,منتسب به
alleged,بنابگفته بعضی
allegorical,مجازی
allegorical,تمثیلی
allegorize,مثل گفتن
allegorize,تمثیل نوشتن
allegory,کنیه
allegory,مجاز
allegory,تمثیل
allegro,نشاط انگیز
allelomorph,دگرشکل
alleluia,سبحان الله
Allen,الن
Allen Clark,الن کلارک
Allen Rome,الن روم
alleviation,تسکین
alleviatory,تسکینی
alley,کوچه
alley,خیابان کوچک
allheal,سنبل الطیب
